lon,lat,elevation,som,moisture,temp,B01_1,B02_1,B03_1,B04_1,B05_1,B06_1,B07_1,B08_1,B09_1,B11_1,B12_1,B8A_1
142.1348106,-36.74234796,416.01,2.425,32.7,64.38,1904.0,2159.0,2378.0,2852.0,3136.0,3136.0,3264.0,3430.0,3840.0,4928.0,3904.0,3648.0
142.134807,-36.74238929,416.01,2.355,36.1,64.0,1904.0,2215.0,2486.0,2903.0,3136.0,3136.0,3264.0,3524.0,3840.0,4928.0,3904.0,3648.0
142.1348186,-36.74243226,416.01,2.225,36.48,62.38,1904.0,2215.0,2486.0,2903.0,3136.0,3136.0,3264.0,3524.0,3840.0,4928.0,3904.0,3648.0
142.1348524,-36.74247529,416.01,2.41,35.42,61.15,1936.0,2153.0,2386.0,2874.0,3008.0,3136.0,3264.0,3386.0,3840.0,5056.0,3904.0,3520.0
142.134927,-36.74249357,416.01,2.435,34.45,61.45,1936.0,2153.0,2386.0,2874.0,3008.0,3136.0,3264.0,3386.0,3840.0,5056.0,3904.0,3520.0
142.134976,-36.74253352,416.01,2.2,32.27,62.9,1936.0,2147.0,2363.0,2806.0,3008.0,3136.0,3264.0,3403.0,3840.0,5056.0,3904.0,3520.0
142.1349982,-36.74258243,416.34,2.295,36.98,63.08,1936.0,2147.0,2363.0,2806.0,3008.0,3136.0,3264.0,3403.0,3840.0,5056.0,3904.0,3520.0
142.135042,-36.74263143,416.01,2.105,34.33,64.7,1936.0,2098.0,2340.0,2799.0,3136.0,3264.0,3392.0,3373.0,3840.0,5056.0,4032.0,3648.0
142.1350387,-36.7426832,416.34,2.08,32.58,65.23,1936.0,2098.0,2340.0,2799.0,3136.0,3264.0,3392.0,3373.0,3840.0,5056.0,4032.0,3648.0
142.1350279,-36.74273481,416.34,2.13,33.88,65.83,1936.0,2102.0,2353.0,2782.0,3136.0,3264.0,3392.0,3369.0,3840.0,5056.0,4032.0,3648.0
142.1350224,-36.74278674,416.01,1.96,31.48,67.13,1936.0,2102.0,2353.0,2782.0,3136.0,3264.0,3392.0,3369.0,3840.0,5056.0,4032.0,3648.0
