config,R2(ann),RMSE(ann)
vis_low_1_random,0.304,0.145
props_ex_som_low_1_random,0.613,0.108
vis_props_ex_som_low_1_random,0.555,0.115
bands_low_1_random,0.549,0.116
all_ex_som_low_1_random,0.633,0.105
vis_low_1_top,0.0,0.185
props_ex_som_low_1_top,0.108,0.128
vis_props_ex_som_low_1_top,0.0,0.135
bands_low_1_top,0.013,0.134
all_ex_som_low_1_top,0.183,0.122
vis_low_1_bottom,0.0,0.151
props_ex_som_low_1_bottom,0.114,0.139
vis_props_ex_som_low_1_bottom,0.134,0.137
bands_low_1_bottom,0.0,0.166
all_ex_som_low_1_bottom,0.251,0.128
vis_low_1_mid,0.117,0.17
props_ex_som_low_1_mid,0.542,0.122
vis_props_ex_som_low_1_mid,0.586,0.116
bands_low_1_mid,0.255,0.156
all_ex_som_low_1_mid,0.577,0.118
vis_low_1_left,0.0,0.165
props_ex_som_low_1_left,0.208,0.136
vis_props_ex_som_low_1_left,0.287,0.129
bands_low_1_left,0.161,0.14
all_ex_som_low_1_left,0.254,0.132
vis_low_1_right,0.0,0.283
props_ex_som_low_1_right,0.477,0.168
vis_props_ex_som_low_1_right,0.282,0.197
bands_low_1_right,0.056,0.226
all_ex_som_low_1_right,0.0,0.697
vis_low_1_block,0.347,0.198
props_ex_som_low_1_block,0.763,0.119
vis_props_ex_som_low_1_block,0.78,0.115
bands_low_1_block,0.525,0.169
all_ex_som_low_1_block,0.743,0.124
