,I-0-0,I-0-1,I-0-2
I-mlr-vis,0.01727356729290419,0.019177070641245297,0.016744034029742005
I-mlr-props,0.37212199398878,0.38015426913767236,0.38086181296146415
I-mlr-vis-props,0.3737088689040211,0.3816432739620459,0.3834819660997463
I-mlr-bands,0.050564909912708234,0.0588570980757962,0.05630740038571047
I-mlr-upper-vis,0.04780404208921918,0.05874540445857879,0.05234762131078052
I-mlr-upper-vis-props,0.3869104836908087,0.3935517668227456,0.3945806769753991
I-mlr-all,0.3879962084448515,0.39619100442589594,0.39631647209594545
I-ann-vis,0.0952387772205544,0.11099396165933073,0.09465091843748707
I-ann-props,0.5972926495152651,0.6059504371630291,0.5869461847714837
I-ann-vis-props,0.6062580084562795,0.6094381008991054,0.6003872727531564
I-ann-bands,0.28463642948174395,0.27280328128257536,0.26513583767951365
I-ann-upper-vis,0.23219539752508178,0.23737321687450508,0.17650027307524618
I-ann-upper-vis-props,0.602662995778302,0.5952807662355635,0.5472125092747646
I-ann-all,0.5999193774858317,0.6212716106765623,0.6084854354729123
