algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
mlr,0.184,0.206,0.158,0.157,vis_low_1_random
mlr,0.362,0.414,0.136,0.138,props_ex_som_low_1_random
mlr,0.43,0.416,0.133,0.134,vis_props_ex_som_low_1_random
mlr,0.393,0.393,0.137,0.137,bands_low_1_random
mlr,0.491,0.515,0.123,0.124,all_ex_som_low_1_random
rf,0.252,0.288,0.147,0.153,vis_low_1_random
rf,0.595,0.573,0.113,0.113,props_ex_som_low_1_random
rf,0.59,0.595,0.112,0.112,vis_props_ex_som_low_1_random
rf,0.427,0.488,0.131,0.127,bands_low_1_random
rf,0.593,0.625,0.113,0.107,all_ex_som_low_1_random
svr,0.274,0.258,0.147,0.153,vis_low_1_random
svr,0.632,0.63,0.107,0.107,props_ex_som_low_1_random
svr,0.665,0.684,0.1,0.1,vis_props_ex_som_low_1_random
svr,0.552,0.558,0.117,0.117,bands_low_1_random
svr,0.693,0.716,0.096,0.095,all_ex_som_low_1_random
ann,0.266,0.248,0.151,0.152,vis_low_1_random
ann,0.474,0.464,0.127,0.128,props_ex_som_low_1_random
ann,0.537,0.524,0.12,0.121,vis_props_ex_som_low_1_random
ann,0.441,0.473,0.13,0.129,bands_low_1_random
ann,0.497,0.522,0.124,0.122,all_ex_som_low_1_random
