algorithm,R2(1-1),R2(1-2),RMSE(1-1),RMSE(1-2),config
mlr,0.021,0.021,0.179,0.179,B04+2_low_0_random
mlr,0.022,0.022,0.178,0.18,B04+3_low_0_random
mlr,0.021,0.024,0.18,0.178,B08_low_0_random
mlr,0.375,0.38,0.142,0.144,elevation+2_low_0_random
mlr,0.378,0.393,0.142,0.141,elevation+5_low_0_random
mlr,0.394,0.379,0.142,0.142,elevation+6_low_0_random
mlr,0.392,0.381,0.142,0.142,elevation+3_low_0_random
rf,0.117,0.117,0.169,0.171,B04+2_low_0_random
rf,0.117,0.119,0.17,0.17,B04+3_low_0_random
rf,0.123,0.112,0.171,0.169,B08_low_0_random
rf,0.566,0.551,0.119,0.121,elevation+2_low_0_random
rf,0.569,0.568,0.12,0.118,elevation+5_low_0_random
rf,0.584,0.552,0.118,0.12,elevation+6_low_0_random
rf,0.58,0.558,0.118,0.12,elevation+3_low_0_random
svr,0.116,0.11,0.172,0.169,B04+2_low_0_random
svr,0.118,0.113,0.17,0.17,B04+3_low_0_random
svr,0.125,0.102,0.17,0.171,B08_low_0_random
svr,0.606,0.589,0.114,0.115,elevation+2_low_0_random
svr,0.624,0.638,0.111,0.109,elevation+5_low_0_random
svr,0.628,0.631,0.11,0.11,elevation+6_low_0_random
svr,0.638,0.629,0.109,0.11,elevation+3_low_0_random
ann,0.113,0.106,0.171,0.171,B04+2_low_0_random
ann,0.107,0.121,0.171,0.169,B04+3_low_0_random
ann,0.123,0.108,0.171,0.169,B08_low_0_random
ann,0.545,0.557,0.122,0.121,elevation+2_low_0_random
ann,0.52,0.499,0.126,0.128,elevation+5_low_0_random
ann,0.573,0.544,0.119,0.121,elevation+6_low_0_random
ann,0.481,0.486,0.13,0.13,elevation+3_low_0_random
